MacherTypes	SelectorTypes	DetectorType	descriptorType	FrameNo	No of KP	 KP-time 	No of Desc	Desc-time	No of Match	Match-time
MAT_BF     	SEL_NN     	BRISK    	AKAZE    	4	297	45089	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	BRISK    	AKAZE    	5	279	45951	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	BRISK    	AKAZE    	6	289	45656	[0 x 0]	-1	0	3
MAT_BF     	SEL_NN     	BRISK    	AKAZE    	7	272	45185	[0 x 0]	-1	0	3
MAT_BF     	SEL_NN     	BRISK    	AKAZE    	8	266	45009	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	BRISK    	AKAZE    	9	254	44661	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	BRISK    	SIFT     	0	264	68122	[128 x 264]	13587	0	0
MAT_BF     	SEL_NN     	BRISK    	SIFT     	1	282	46184	[128 x 282]	12213	166	384
MAT_BF     	SEL_NN     	BRISK    	SIFT     	2	282	45249	[128 x 282]	12468	180	417
MAT_BF     	SEL_NN     	BRISK    	SIFT     	3	277	45428	[128 x 277]	12312	161	406
MAT_BF     	SEL_NN     	BRISK    	SIFT     	4	297	45550	[128 x 297]	12220	173	418
MAT_BF     	SEL_NN     	BRISK    	SIFT     	5	279	47952	[128 x 279]	12559	166	453
MAT_BF     	SEL_NN     	BRISK    	SIFT     	6	289	45233	[128 x 289]	12311	181	416
MAT_BF     	SEL_NN     	BRISK    	SIFT     	7	272	45470	[128 x 272]	12200	177	406
MAT_BF     	SEL_NN     	BRISK    	SIFT     	8	266	45771	[128 x 266]	12249	169	375
MAT_BF     	SEL_NN     	BRISK    	SIFT     	9	254	45116	[128 x 254]	11998	163	351
MAT_BF     	SEL_NN     	ORB       	BRISK     	0	83	101110	[64 x 83]	17954	0	0
MAT_BF     	SEL_NN     	ORB       	BRISK     	1	93	4149	[64 x 93]	17869	67	130
MAT_BF     	SEL_NN     	ORB       	BRISK     	2	95	4061	[64 x 95]	17843	68	134
MAT_BF     	SEL_NN     	ORB       	BRISK     	3	103	4070	[64 x 103]	17958	70	135
MAT_BF     	SEL_NN     	ORB       	BRISK     	4	101	4039	[64 x 101]	18040	81	140
MAT_BF     	SEL_NN     	ORB       	BRISK     	5	116	4053	[64 x 116]	17977	79	153
MAT_BF     	SEL_NN     	ORB       	BRISK     	6	120	4124	[64 x 120]	18024	88	164
MAT_BF     	SEL_NN     	ORB       	BRISK     	7	120	4066	[64 x 120]	17933	88	151
MAT_BF     	SEL_NN     	ORB       	BRISK     	8	119	4185	[64 x 119]	18199	89	149
MAT_BF     	SEL_NN     	ORB       	BRISK     	9	120	4118	[64 x 120]	18369	87	153
MAT_BF     	SEL_NN     	ORB       	BRIEF    	0	92	8407	[32 x 92]	208	0	0
MAT_BF     	SEL_NN     	ORB       	BRIEF    	1	102	4143	[32 x 102]	217	47	121
MAT_BF     	SEL_NN     	ORB       	BRIEF    	2	106	4141	[32 x 106]	220	54	126
MAT_BF     	SEL_NN     	ORB       	BRIEF    	3	113	4091	[32 x 113]	231	51	129
MAT_BF     	SEL_NN     	ORB       	BRIEF    	4	109	4052	[32 x 109]	225	58	130
MAT_BF     	SEL_NN     	ORB       	BRIEF    	5	125	4068	[32 x 125]	247	60	135
MAT_BF     	SEL_NN     	ORB       	BRIEF    	6	130	4049	[32 x 130]	253	68	127
MAT_BF     	SEL_NN     	ORB       	BRIEF    	7	129	4033	[32 x 129]	252	69	145
MAT_BF     	SEL_NN     	ORB       	BRIEF    	8	127	4107	[32 x 127]	251	73	155
MAT_BF     	SEL_NN     	ORB       	BRIEF    	9	128	4178	[32 x 128]	251	70	139
MAT_BF     	SEL_NN     	ORB       	ORB       	0	92	17668	[32 x 92]	13413	0	0
MAT_BF     	SEL_NN     	ORB       	ORB       	1	102	5516	[32 x 102]	7569	67	122
MAT_BF     	SEL_NN     	ORB       	ORB       	2	106	4082	[32 x 106]	6432	77	119
MAT_BF     	SEL_NN     	ORB       	ORB       	3	113	4022	[32 x 113]	6522	74	123
MAT_BF     	SEL_NN     	ORB       	ORB       	4	109	4045	[32 x 109]	6515	83	123
MAT_BF     	SEL_NN     	ORB       	ORB       	5	125	4238	[32 x 125]	6458	85	135
MAT_BF     	SEL_NN     	ORB       	ORB       	6	130	4061	[32 x 130]	6435	96	141
MAT_BF     	SEL_NN     	ORB       	ORB       	7	129	4025	[32 x 129]	6560	94	138
